,edit_count,sentiment,neg_sentiment
2010-07-05,1.0666666666666667,0.18042582889240258,0.024206349206349207
2010-07-06,1.0666666666666667,0.18042582889240258,0.024206349206349207
2010-07-07,1.1333333333333333,0.17533392627876274,0.040873015873015874
2010-07-08,1.2,0.17596809089026125,0.05753968253968254
2010-07-09,1.2333333333333334,0.14580192188264202,0.09087301587301587
2010-07-10,1.2333333333333334,0.14580192188264202,0.09087301587301587
2010-07-11,1.6666666666666667,0.15075253986237638,0.10112942612942613
2010-07-12,1.9666666666666666,0.14115920319188938,0.12335164835164836
2010-07-13,2.1,0.14934013241558575,0.12335164835164836
2010-07-14,2.2333333333333334,0.1410786852640838,0.14001831501831502
2010-07-15,2.3666666666666667,0.11124752614924613,0.17335164835164835
2010-07-16,2.566666666666667,0.14283054425348146,0.17335164835164835
